"name";"toal_robbery";"total_street_robbery";"total_injury";"agg_assault";"total_threat";"total_theft";"total_car";"total_from_car";"total_bike";"total_bulgary";"total_fire";"total_arson";"total_damage";"total_grafitti";"total_drugs"
"Mitte";7582.0;4225.0;59628.0;15730.0;17130.0;328450.0;4186.0;34665.0;33574.0;9915.0;2372.0;900.0;45457.0;10982.0;26445.0
"Friedrichshain-Kreuzberg";6748.0;4310.0;37719.0;12220.0;9244.0;213388.0;3667.0;22486.0;32462.0;6605.0;2072.0;741.0;40089.0;10108.0;31683.0
"Pankow";2581.0;1304.0;23057.0;5409.0;8165.0;167927.0;5732.0;22013.0;34665.0;7911.0;1654.0;661.0;33486.0;9701.0;4832.0
"Charlottenburg-Wilmersdorf";4220.0;2039.0;31931.0;7797.0;11380.0;210033.0;5821.0;32476.0;26447.0;10606.0;1313.0;593.0;29329.0;6364.0;8425.0
"Spandau";2314.0;1193.0;22670.0;5318.0;8378.0;89812.0;2590.0;13146.0;8555.0;4396.0;1348.0;544.0;20004.0;2796.0;4163.0
"Steglitz-Zehlendorf";1624.0;794.0;13871.0;2720.0;6476.0;101487.0;3901.0;19679.0;16389.0;8247.0;1144.0;431.0;20879.0;5108.0;3116.0
"Tempelhof-Schneberg";3525.0;1906.0;25880.0;5930.0;9872.0;153141.0;4281.0;23861.0;20791.0;7536.0;1665.0;602.0;27722.0;5723.0;8965.0
"Neuklln";4659.0;2545.0;32239.0;9261.0;11477.0;161622.0;4083.0;25428.0;15568.0;8861.0;1903.0;854.0;32975.0;5321.0;12253.0
"Treptow-Kpenick";1571.0;859.0;16893.0;3681.0;6080.0;90453.0;4241.0;15510.0;16758.0;4346.0;1274.0;592.0;21778.0;5576.0;3633.0
"Marzahn-Hellersdorf";1981.0;1090.0;24198.0;4576.0;7330.0;76041.0;4500.0;13861.0;8295.0;3735.0;1651.0;532.0;22738.0;4714.0;3086.0
"Lichtenberg";1890.0;1057.0;21001.0;4525.0;6431.0;99402.0;5251.0;17003.0;13868.0;4445.0;1439.0;572.0;22543.0;5046.0;3530.0
"Reinickendorf";2385.0;1171.0;22514.0;5333.0;9137.0;99013.0;2754.0;18202.0;9876.0;6784.0;1354.0;516.0;20899.0;4022.0;7300.0
